epoch,loss,val_loss
0,0.0861175156136,0.0419342068955
1,0.0766673528776,0.0389863655344
2,0.0750580511366,0.0321294131875
3,0.0741532036414,0.0321665043198
4,0.072209354428,0.0307933922857
5,0.0724946282928,0.0289755583927
6,0.0715126806498,0.0264213320613
7,0.0713188826044,0.0237017436884
8,0.0704442035904,0.0226239179075
9,0.0696165524051,0.024249091167
10,0.0697849909837,0.0238564621843
11,0.0683319778865,0.0240989237465
12,0.0678394155949,0.023592052795
13,0.0674941030517,0.0215089124721
14,0.0667851891244,0.0215506901965
15,0.0662210347255,0.0206617559586
16,0.0652736668661,0.0198649417236
17,0.0645665553709,0.02023243187
18,0.0636818741883,0.0198751693126
19,0.0634100240842,0.0186237860844
20,0.0629172476257,0.0181440920569
21,0.0621389615536,0.0188965245616
22,0.0621401515603,0.0180831097998
23,0.0613425439969,0.0179814457987
24,0.0609722725302,0.017750197649
25,0.0604877720649,0.0173245901242
26,0.0599246198311,0.0168642770406
27,0.0600397716214,0.0164357728232
28,0.0594999146089,0.0170271952637
29,0.0597145645941,0.0175972999539
